District,Taluk,Crop,Soil,Irrigation,AgriculturalArea,DroneZone,Latitude,Longitude
Villupuram,Tindivanam,Turmeric,Alluvial,Borewell,36580,Green,12.2500,79.6500
Thanjavur,Peravurani,Banana,Red Loam,Tank,70460,Green,10.3000,79.1800
Dindigul,Oddanchatram,Sugarcane,Alluvial,Borewell,63641,Green,10.5000,77.7500
Virudhunagar,Rajapalayam,Groundnut,Red Soil,Borewell,37381,Outer Yellow,9.4200,77.5700
Villupuram,Sankarapuram,Millet,Black Soil,Canal,85790,Inner Yellow,11.8300,78.9500
Karur,Kadavur,Turmeric,Red Loam,Borewell,19909,Green,10.8300,78.2300
Vellore,Gudiyatham,Turmeric,Red Loam,Canal,30372,Green,12.9500,78.8700
Krishnagiri,Bargur,Groundnut,Alluvial,Tank,36103,Green,12.4500,78.3700
Salem,Attur,Turmeric,Alluvial,Canal,55041,Outer Yellow,11.6000,78.6000
Theni,Andipatti,Banana,Red Loam,Tank,75333,Green,9.9800,77.6200
Virudhunagar,Rajapalayam,Sugarcane,Black Soil,Tank,64512,Green,9.4200,77.5700
Vellore,Vaniyambadi,Cotton,Red Loam,Borewell,70273,Green,12.6800,78.6200
Coimbatore,Mettupalayam,Maize,Red Soil,Canal,81721,Inner Yellow,11.3000,76.9300
Coimbatore,Pollachi,Turmeric,Black Soil,Borewell,25376,Green,10.6700,77.0200
Dindigul,Nilakottai,Sugarcane,Red Soil,Tank,56105,Outer Yellow,10.1700,77.8500
Sivaganga,Ilayangudi,Vegetables,Black Soil,Tank,53121,Outer Yellow,9.6300,78.6300
Dindigul,Nilakottai,Millet,Red Soil,Tank,48407,Green,10.1700,77.8500
Thanjavur,Papanasam,Vegetables,Red Soil,Canal,72835,Green,10.9300,79.2700
Chennai,Sholinganallur,Urban,Urban,None,1633,Red,12.9000,80.2200
Theni,Bodinayakanur,Coconut,Red Soil,Borewell,33285,Green,10.0200,77.3500
Coimbatore,Kinathukadavu,Millet,Red Soil,Canal,40529,Outer Yellow,10.8200,76.9500
Villupuram,Tindivanam,Cotton,Black Soil,Borewell,26062,Green,12.2500,79.6500
Karur,Kulithalai,Groundnut,Red Loam,Borewell,73473,Outer Yellow,10.9300,78.4200
Sivaganga,Manamadurai,Vegetables,Alluvial,Tank,44430,Inner Yellow,9.6800,78.4800
Salem,Omalur,Paddy,Red Soil,Borewell,52134,Green,11.7300,78.0800
Krishnagiri,Bargur,Vegetables,Red Loam,Tank,86924,Outer Yellow,12.4500,78.3700
Vellore,Vaniyambadi,Maize,Alluvial,Canal,38132,Green,12.6800,78.6200
Chennai,Perambur,Urban,Urban,None,778,Red,13.1100,80.2500
Madurai,Melur,Groundnut,Alluvial,Canal,47724,Inner Yellow,10.0300,78.3300
Nagapattinam,Mayiladuthurai,Banana,Red Soil,Canal,86198,Green,11.1000,79.6500
Chennai,Perambur,Urban,Urban,None,1687,Red,13.1100,80.2500
Coimbatore,Mettupalayam,Millet,Black Soil,Canal,23870,Green,11.3000,76.9300
Thanjavur,Peravurani,Millet,Alluvial,Tank,83132,Inner Yellow,10.3000,79.1800
Ramanathapuram,Kadaladi,Millet,Red Loam,Tank,88709,Green,9.2800,78.5200
Ramanathapuram,Paramakudi,Groundnut,Red Loam,Borewell,61382,Green,9.5500,78.5800
Thanjavur,Orathanadu,Maize,Black Soil,Tank,44664,Green,10.6200,79.2700
Villupuram,Sankarapuram,Millet,Alluvial,Borewell,53686,Green,11.8300,78.9500
Thanjavur,Peravurani,Maize,Red Loam,Tank,70790,Green,10.3000,79.1800
Vellore,Anaicut,Millet,Alluvial,Borewell,59368,Green,12.9300,79.2500
Namakkal,Kolli Hills,Turmeric,Black Soil,Borewell,59174,Green,11.2800,78.3300
Erode,Kodumudi,Banana,Alluvial,Tank,39240,Green,11.0800,77.8800
Tiruchirappalli,Srirangam,Vegetables,Red Loam,Tank,43520,Inner Yellow,10.8700,78.7000
Thanjavur,Orathanadu,Paddy,Red Loam,Canal,43195,Green,10.6200,79.2700
Villupuram,Sankarapuram,Vegetables,Black Soil,Tank,60263,Green,11.8300,78.9500
Namakkal,Senthamangalam,Sugarcane,Red Soil,Tank,25300,Outer Yellow,11.2500,78.1700
Erode,Perundurai,Maize,Red Soil,Tank,43207,Green,11.2700,77.5800
Tirunelveli,Ambasamudram,Maize,Red Loam,Tank,57595,Outer Yellow,8.7000,77.4700
Tiruchirappalli,Lalgudi,Sugarcane,Black Soil,Canal,84943,Outer Yellow,10.8700,78.8200
Dindigul,Palani,Coconut,Alluvial,Borewell,89041,Outer Yellow,10.4500,77.5200
Ramanathapuram,Rameswaram,Banana,Black Soil,Tank,49847,Green,9.2800,79.3000
Tirunelveli,Cheranmahadevi,Banana,Black Soil,Canal,85212,Green,8.6800,77.5700
Tirunelveli,Sankarankovil,Paddy,Red Loam,Canal,65245,Inner Yellow,9.1700,77.5300
Salem,Edappadi,Coconut,Red Loam,Tank,39191,Inner Yellow,11.5700,77.8500
Dindigul,Palani,Groundnut,Red Loam,Tank,21487,Green,10.4500,77.5200
Salem,Mettur,Maize,Black Soil,Tank,53168,Green,11.8000,77.8000
Tiruchirappalli,Srirangam,Banana,Red Loam,Tank,68681,Green,10.8700,78.7000
Cuddalore,Neyveli,Turmeric,Alluvial,Canal,68615,Inner Yellow,11.6100,79.4800
Thanjavur,Kumbakonam,Vegetables,Alluvial,Canal,57154,Green,10.9700,79.3800
Coimbatore,Pollachi,Vegetables,Black Soil,Borewell,18994,Inner Yellow,10.6700,77.0200
Theni,Andipatti,Millet,Black Soil,Borewell,22495,Green,9.9800,77.6200
Coimbatore,Mettupalayam,Cotton,Black Soil,Tank,80738,Outer Yellow,11.3000,76.9300
Krishnagiri,Hosur,Coconut,Black Soil,Tank,66633,Green,12.7200,77.8200
Thanjavur,Orathanadu,Coconut,Red Loam,Canal,19203,Green,10.6200,79.2700
Krishnagiri,Denkanikottai,Cotton,Alluvial,Borewell,62357,Green,12.5300,77.7800
Tirunelveli,Sankarankovil,Banana,Red Loam,Borewell,35918,Green,9.1700,77.5300
Salem,Omalur,Cotton,Red Loam,Borewell,62857,Inner Yellow,11.7300,78.0800
Tirunelveli,Cheranmahadevi,Groundnut,Black Soil,Canal,64843,Green,8.6800,77.5700
Nagapattinam,Kilvelur,Millet,Alluvial,Tank,76579,Inner Yellow,10.7700,79.7500
Madurai,Usilampatti,Paddy,Red Loam,Tank,82068,Green,9.9700,77.8000
Tirunelveli,Ambasamudram,Coconut,Alluvial,Tank,77070,Green,8.7000,77.4700
Virudhunagar,Aruppukkottai,Millet,Black Soil,Borewell,78703,Outer Yellow,9.5200,78.1000
Namakkal,Kolli Hills,Vegetables,Red Loam,Canal,57366,Inner Yellow,11.2800,78.3300
Namakkal,Rasipuram,Groundnut,Red Loam,Canal,70907,Green,11.4500,78.5000
Krishnagiri,Hosur,Maize,Alluvial,Borewell,65786,Green,12.7200,77.8200
Villupuram,Gingee,Millet,Red Soil,Borewell,29156,Green,12.2300,79.4200
Theni,Bodinayakanur,Maize,Red Soil,Borewell,44862,Green,10.0200,77.3500
Tiruchirappalli,Thuraiyur,Coconut,Red Loam,Borewell,31343,Green,11.1500,78.6000
Karur,Kulithalai,Turmeric,Red Soil,Tank,29860,Green,10.9300,78.4200
Thanjavur,Pattukkottai,Cotton,Red Loam,Tank,29357,Outer Yellow,10.4200,79.3200
Cuddalore,Chidambaram,Cotton,Red Loam,Borewell,84913,Green,11.4000,79.7000
Ramanathapuram,Paramakudi,Groundnut,Red Soil,Borewell,47065,Green,9.5500,78.5800
Krishnagiri,Hosur,Paddy,Alluvial,Canal,59031,Inner Yellow,12.7200,77.8200
Tirunelveli,Cheranmahadevi,Vegetables,Alluvial,Tank,81148,Inner Yellow,8.6800,77.5700
Thanjavur,Kumbakonam,Turmeric,Red Soil,Canal,33385,Green,10.9700,79.3800
Cuddalore,Chidambaram,Vegetables,Alluvial,Tank,49200,Inner Yellow,11.4000,79.7000
Namakkal,Paramathi Velur,Paddy,Alluvial,Tank,48442,Green,11.2200,78.0200
Nagapattinam,Vedaranyam,Groundnut,Red Soil,Borewell,84392,Green,10.3700,79.8500
Coimbatore,Sulur,Banana,Alluvial,Canal,16235,Outer Yellow,11.0300,77.1300
Cuddalore,Kattumannarkoil,Turmeric,Black Soil,Canal,70924,Inner Yellow,11.3300,79.7300
Theni,Bodinayakanur,Banana,Black Soil,Tank,79427,Outer Yellow,10.0200,77.3500
Coimbatore,Sulur,Millet,Red Soil,Tank,50999,Outer Yellow,11.0300,77.1300
Madurai,Usilampatti,Groundnut,Alluvial,Borewell,45802,Green,9.9700,77.8000
Villupuram,Vikravandi,Millet,Black Soil,Canal,68979,Outer Yellow,11.9700,79.5300
Tiruchirappalli,Lalgudi,Paddy,Black Soil,Canal,48696,Outer Yellow,10.8700,78.8200
Tirunelveli,Nanguneri,Coconut,Red Soil,Canal,34000,Outer Yellow,8.4800,77.6700
Tiruchirappalli,Musiri,Maize,Alluvial,Tank,43481,Green,10.9500,78.4500
Dindigul,Oddanchatram,Sugarcane,Red Loam,Borewell,34005,Green,10.5000,77.7500
Vellore,Anaicut,Turmeric,Alluvial,Canal,23447,Green,12.9300,79.2500
Virudhunagar,Sivakasi,Groundnut,Alluvial,Borewell,80118,Outer Yellow,9.4500,77.8000
Dindigul,Nilakottai,Vegetables,Red Loam,Canal,41402,Inner Yellow,10.1700,77.8500
Madurai,Melur,Groundnut,Red Loam,Borewell,37505,Green,10.0300,78.3300
Virudhunagar,Sattur,Paddy,Alluvial,Canal,23143,Green,9.3700,77.9200
Namakkal,Kolli Hills,Paddy,Alluvial,Canal,79642,Outer Yellow,11.2800,78.3300
Namakkal,Kolli Hills,Vegetables,Alluvial,Canal,15757,Green,11.2800,78.3300
Dindigul,Nilakottai,Groundnut,Red Soil,Canal,23648,Green,10.1700,77.8500
Tirunelveli,Nanguneri,Maize,Red Soil,Tank,45314,Green,8.4800,77.6700
Sivaganga,Manamadurai,Millet,Red Soil,Borewell,35407,Green,9.6800,78.4800
Cuddalore,Kattumannarkoil,Paddy,Red Loam,Borewell,35874,Inner Yellow,11.3300,79.7300
Namakkal,Senthamangalam,Paddy,Black Soil,Borewell,62199,Green,11.2500,78.1700
Chennai,Sholinganallur,Urban,Urban,None,1253,Red,12.9000,80.2200
Karur,Krishnarayapuram,Paddy,Alluvial,Tank,81515,Green,10.8800,78.1800
Salem,Sankari,Coconut,Black Soil,Borewell,62720,Green,11.4800,77.8700
Chennai,Sholinganallur,Urban,Urban,None,953,Red,12.9000,80.2200
Karur,Thanthoni,Banana,Black Soil,Borewell,36908,Green,10.9500,78.0800
Cuddalore,Kattumannarkoil,Banana,Alluvial,Tank,35674,Inner Yellow,11.3300,79.7300
Erode,Bhavani,Vegetables,Red Loam,Borewell,30110,Inner Yellow,11.4500,77.6800
Vellore,Katpadi,Groundnut,Black Soil,Tank,21825,Outer Yellow,12.9700,79.1300
Namakkal,Senthamangalam,Groundnut,Red Soil,Borewell,33990,Green,11.2500,78.1700
Tirunelveli,Ambasamudram,Banana,Red Loam,Tank,54281,Green,8.7000,77.4700
Tirunelveli,Sankarankovil,Turmeric,Black Soil,Tank,64864,Outer Yellow,9.1700,77.5300
Coimbatore,Annur,Groundnut,Black Soil,Borewell,81886,Green,11.2300,77.1300
Vellore,Arcot,Millet,Red Soil,Canal,29364,Inner Yellow,12.9000,79.3200
Tirunelveli,Cheranmahadevi,Sugarcane,Red Soil,Borewell,43379,Green,8.6800,77.5700
Namakkal,Rasipuram,Paddy,Alluvial,Canal,40243,Inner Yellow,11.4500,78.5000
Theni,Cumbum,Vegetables,Alluvial,Borewell,76703,Outer Yellow,9.7300,77.2800
Chennai,Sholinganallur,Urban,Urban,None,777,Red,12.9000,80.2200
Karur,Kadavur,Sugarcane,Black Soil,Tank,54250,Green,10.8300,78.2300
Erode,Sathyamangalam,Vegetables,Black Soil,Canal,31776,Outer Yellow,11.5250,77.2383
Dindigul,Natham,Maize,Red Loam,Borewell,20877,Outer Yellow,10.2300,78.1200
Virudhunagar,Tiruchuli,Millet,Red Loam,Canal,41903,Green,9.5300,78.2300
Tiruchirappalli,Musiri,Paddy,Red Soil,Borewell,70807,Green,10.9500,78.4500
Sivaganga,Karaikudi,Turmeric,Black Soil,Tank,22307,Green,10.0800,78.7800
Coimbatore,Kinathukadavu,Sugarcane,Red Soil,Borewell,88400,Outer Yellow,10.8200,76.9500
Erode,Sathyamangalam,Paddy,Alluvial,Borewell,77656,Green,11.5250,77.2383
Tiruchirappalli,Srirangam,Coconut,Alluvial,Tank,23408,Inner Yellow,10.8700,78.7000
Sivaganga,Karaikudi,Groundnut,Red Loam,Tank,72270,Outer Yellow,10.0800,78.7800
Nagapattinam,Vedaranyam,Turmeric,Alluvial,Canal,62790,Outer Yellow,10.3700,79.8500
Cuddalore,Chidambaram,Banana,Red Loam,Canal,61822,Green,11.4000,79.7000
Nagapattinam,Mayiladuthurai,Coconut,Red Soil,Tank,15430,Inner Yellow,11.1000,79.6500
Sivaganga,Karaikudi,Groundnut,Black Soil,Canal,65136,Green,10.0800,78.7800
Thanjavur,Orathanadu,Paddy,Black Soil,Canal,76666,Green,10.6200,79.2700
Tirunelveli,Ambasamudram,Cotton,Red Loam,Canal,19792,Green,8.7000,77.4700
Namakkal,Kolli Hills,Groundnut,Red Soil,Canal,28427,Inner Yellow,11.2800,78.3300
Krishnagiri,Hosur,Groundnut,Alluvial,Borewell,28903,Green,12.7200,77.8200
Tiruchirappalli,Manapparai,Maize,Red Loam,Borewell,49596,Inner Yellow,10.6200,78.4200
Erode,Kodumudi,Coconut,Red Soil,Canal,87038,Outer Yellow,11.0800,77.8800
Salem,Attur,Cotton,Black Soil,Tank,67088,Green,11.6000,78.6000
Vellore,Anaicut,Vegetables,Red Loam,Borewell,54265,Green,12.9300,79.2500
Nagapattinam,Nagore,Paddy,Red Loam,Canal,39893,Outer Yellow,10.8200,79.8500
Theni,Uthamapalayam,Groundnut,Red Soil,Tank,82594,Green,9.8000,77.3300
Tirunelveli,Ambasamudram,Cotton,Black Soil,Canal,25505,Inner Yellow,8.7000,77.4700
Vellore,Vaniyambadi,Vegetables,Black Soil,Canal,58526,Outer Yellow,12.6800,78.6200
Sivaganga,Devakottai,Coconut,Alluvial,Borewell,62497,Green,9.9500,78.8200
Krishnagiri,Denkanikottai,Paddy,Red Soil,Canal,34205,Green,12.5300,77.7800
Salem,Omalur,Paddy,Red Soil,Tank,78882,Green,11.7300,78.0800
Madurai,Melur,Cotton,Red Loam,Canal,41399,Green,10.0300,78.3300
Krishnagiri,Denkanikottai,Maize,Red Loam,Tank,42350,Green,12.5300,77.7800
Karur,Thanthoni,Paddy,Black Soil,Borewell,62595,Green,10.9500,78.0800
Salem,Mettur,Coconut,Black Soil,Tank,46255,Green,11.8000,77.8000
Nagapattinam,Kilvelur,Vegetables,Red Loam,Tank,79074,Green,10.7700,79.7500
Krishnagiri,Bargur,Banana,Alluvial,Tank,83118,Inner Yellow,12.4500,78.3700
Thanjavur,Peravurani,Paddy,Black Soil,Borewell,80460,Green,10.3000,79.1800
Chennai,Ambattur,Urban,Urban,None,1655,Red,13.1200,80.1600
Nagapattinam,Nagore,Sugarcane,Black Soil,Canal,19080,Green,10.8200,79.8500
Karur,Kulithalai,Banana,Red Soil,Canal,54769,Green,10.9300,78.4200
Nagapattinam,Sirkazhi,Groundnut,Alluvial,Borewell,49572,Inner Yellow,11.2300,79.7300
Tiruchirappalli,Manapparai,Banana,Alluvial,Borewell,43225,Green,10.6200,78.4200
Namakkal,Senthamangalam,Sugarcane,Alluvial,Tank,25960,Outer Yellow,11.2500,78.1700
Krishnagiri,Pochampalli,Groundnut,Alluvial,Borewell,74054,Green,12.3500,78.3700
Salem,Mettur,Banana,Red Loam,Canal,34237,Green,11.8000,77.8000
Ramanathapuram,Kamuthi,Groundnut,Alluvial,Canal,77221,Outer Yellow,9.4000,78.3700
Theni,Andipatti,Coconut,Black Soil,Canal,25739,Green,9.9800,77.6200
Nagapattinam,Kilvelur,Banana,Red Loam,Canal,19119,Inner Yellow,10.7700,79.7500
Namakkal,Kolli Hills,Sugarcane,Alluvial,Tank,61822,Green,11.2800,78.3300
Sivaganga,Devakottai,Millet,Black Soil,Canal,50552,Outer Yellow,9.9500,78.8200
Chennai,Ambattur,Urban,Urban,None,965,Red,13.1200,80.1600
Madurai,Tirumangalam,Millet,Black Soil,Canal,44418,Green,9.8200,78.0300
Erode,Gobichettipalayam,Coconut,Alluvial,Borewell,58408,Green,11.4600,77.4500
Virudhunagar,Tiruchuli,Paddy,Red Loam,Tank,86758,Green,9.5300,78.2300
Madurai,Peraiyur,Maize,Red Loam,Tank,21130,Green,9.7500,77.8000
Coimbatore,Annur,Paddy,Red Soil,Tank,51390,Green,11.2300,77.1300
Karur,Aravakurichi,Turmeric,Alluvial,Borewell,64944,Inner Yellow,10.8800,78.1300
Vellore,Arcot,Millet,Red Soil,Canal,83115,Green,12.9000,79.3200
Tiruchirappalli,Lalgudi,Millet,Red Soil,Canal,77322,Green,10.8700,78.8200
Tiruchirappalli,Manapparai,Cotton,Red Loam,Canal,62873,Outer Yellow,10.6200,78.4200
Dindigul,Nilakottai,Sugarcane,Alluvial,Borewell,30366,Green,10.1700,77.8500
Cuddalore,Virudhachalam,Banana,Black Soil,Borewell,71439,Outer Yellow,11.5300,79.4700
Thanjavur,Kumbakonam,Vegetables,Red Loam,Borewell,88990,Green,10.9700,79.3800
Tirunelveli,Sankarankovil,Maize,Black Soil,Canal,74929,Green,9.1700,77.5300
Namakkal,Rasipuram,Millet,Alluvial,Tank,88335,Green,11.4500,78.5000
Tirunelveli,Sankarankovil,Banana,Red Soil,Canal,89740,Green,9.1700,77.5300
Namakkal,Tiruchengode,Cotton,Alluvial,Tank,33998,Outer Yellow,11.3800,77.9000
Nagapattinam,Sirkazhi,Groundnut,Red Loam,Borewell,45455,Inner Yellow,11.2300,79.7300
Thanjavur,Orathanadu,Turmeric,Alluvial,Tank,68703,Green,10.6200,79.2700
Krishnagiri,Pochampalli,Maize,Alluvial,Tank,65216,Green,12.3500,78.3700
Madurai,Tirumangalam,Maize,Red Soil,Canal,40724,Outer Yellow,9.8200,78.0300
Vellore,Gudiyatham,Maize,Red Loam,Tank,41134,Inner Yellow,12.9500,78.8700
Salem,Edappadi,Cotton,Alluvial,Borewell,62966,Inner Yellow,11.5700,77.8500
Tirunelveli,Cheranmahadevi,Millet,Red Loam,Borewell,89514,Green,8.6800,77.5700
Salem,Edappadi,Turmeric,Black Soil,Borewell,43650,Outer Yellow,11.5700,77.8500
Krishnagiri,Bargur,Maize,Red Loam,Borewell,73316,Outer Yellow,12.4500,78.3700
